Codigo	Descripcion	Precio Costo	Precio Venta	Precio Mayoreo	Inventario	Inv. Minimo	Departamento
 ALQURIA 200ML		$0	$1.000	$0	N/A	0.000	- Sin Departamento -
 BOLSA AVENA ALPINA		$0	$2.200	$0	N/A	0.000	- Sin Departamento -
 FORST USB  CTO LIGHT		$0	$25.000	$0	N/A	0.000	- Sin Departamento -
 MASAPAN		$0	$300	$0	N/A	0.000	- Sin Departamento -
 PASABOCAS FESTIN		$0	$600	$0	N/A	0.000	- Sin Departamento -
 LIMONCITAS		$0	$800	$0	N/A	0.000	- Sin Departamento -
 LECHE ALKERIA X200ML		$0	$1.000	$0	N/A	0.000	- Sin Departamento -
 WINNY ETAPA 4		$0	$1.600	$0	N/A	0.000	- Sin Departamento -
 BOLSACIERREAZUL		$0	$7.800	$0	N/A	0.000	- Sin Departamento -
 7702011012203		$0	$600	$0	N/A	0.000	- Sin Departamento -
 7500435246415		$0	$800	$0	N/A	0.000	- Sin Departamento -
 MM CHOCOLATE 20 GR		$0	$2.000	$0	N/A	0.000	- Sin Departamento -
 TRAPERA		$0	$9.600	$0	N/A	0.000	- Sin Departamento -
 7702097148568	 MERMELADA LA CONSTANCIA  FRESA X 80 GRX80GR	$0	$1.800	$0	N/A	0.000	0
 7701021114464	 PAÑAL WINNY ETAPA 5 	$0	$1.700	$0	N/A	0.000	0
 7702168214000	 RON CALDAS TRADICIONAL 1/2	$15.091	$35.000	$0	N/A	0.000	0
 7701021114136	 WINNY ETAPA 4	$0	$1.600	$0	N/A	0.000	0
 7709027298720	+SEX CONDONES CEREZA	$0	$2.500	$0	N/A	0.000	- Sin Departamento -
 7702191521786	3D MULTIUS0S	$0	$1.600	$0	N/A	0.000	- Sin Departamento -
 HTTPSÑ--WWW.BRETANA.	7702090029543	$0	$5.000	$0	N/A	0.000	- Sin Departamento -
 7706667959127	ABURRA PETS 4 KG	$10.706	$14.500	$0	N/A	0.000	0
 7702109008729	ACEITE 0LIOSOYA X 900 ML	$10.105	$12.500	$0	N/A	0.000	0
 7702028000347	ACEITE DIANA 2000 ML	$0	$17.000	$0	N/A	0.000	0
 7702028000316	ACEITE DIANA 250 ML	$0	$3.000	$0	N/A	0.000	0
 7702028000323	ACEITE DIANA 450 ML	$0	$4.900	$0	N/A	0.000	0
 7702028000330	ACEITE DIANA 900 ML	$0	$8.900	$0	N/A	0.000	0
 7701909008090	ACEITE IDEAL  250ML	$0	$3.000	$0	N/A	0.000	- Sin Departamento -
 7701018005157	ACEITE OLEOCALI 250 ML	$0	$4.000	$0	N/A	0.000	- Sin Departamento -
 7706569001559	ACETAMINIFEN X10	$0	$1.000	$0	N/A	0.000	- Sin Departamento -
 7703038040293	ACETAMINOFEN	$0	$1.000	$0	N/A	0.000	0
 7703712035454	ACETAMINOFEN JARABE 	$0	$4.600	$0	N/A	0.000	- Sin Departamento -
 7706569001436	ACETAMINOFEN JARABE NIÑOS	$3.300	$4.000	$0	N/A	0.000	0
 7702006302449	ACOND DOVE HIFAT +VITA A&E X 18ML	$0	$0	$0	0,00	0.000	0
 7702354956332	ACONDICIO NUTRI REPARACION X15ML	$0	$1.200	$0	N/A	0.000	0
 7702354958145	ACONDICIONADOR BIOKERATINA	$0	$1.200	$0	N/A	0.000	- Sin Departamento -
 7500435153683	ACONDICIONADOR PANTENE 3 MNT	$0	$1.200	$0	N/A	0.000	0
 7702006202350	ACONDICIONADOR SAVITAL 22ML	$0	$1.200	$0	N/A	0.000	0
 7702006207690	ACONDICIONADOR SEDAL	$0	$0	$0	0,00	0.000	0
 7702090062854	ACQUA POSTOBON FRUTOS ROJOS 1.5 ML	$0	$4.000	$0	N/A	0.000	- Sin Departamento -
 ADAPTIVEFASTCHARGING	ADAPTIVE FAST CHARGING	$0	$13.000	$0	N/A	0.000	- Sin Departamento -
 7702132011406	ADVIL FEM	$0	$2.500	$0	N/A	0.000	0
 ADVILFEMUNIDAD	ADVIL FEM UNIDAD	$0	$2.200	$0	N/A	0.000	- Sin Departamento -
 7707397792503	ADVIL GRIPA MAX	$0	$2.900	$0	N/A	0.000	0
 7702132010966	ADVIL GRIPA MULTISINTOMAS	$0	$2.800	$0	N/A	0.000	- Sin Departamento -
 ADVILGRIPAUNI	ADVIL GRIPA UNIDAD	$0	$2.800	$0	N/A	0.000	- Sin Departamento -
 7702132009588	ADVIL MAX	$0	$0	$0	0,00	0.000	0
